impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K22-143343,A656261,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2382916,In Public Home,Jennifer Lun,Dog,Over 1 year<p/>,Male,Golden Retriever,Unknown,"Jan 17, 2022",Date Found,2000 block of  23RD AVENUE EAST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2382916,Image Copyright HLP Inc. 2022,Description: Very friendly olderish male golden retriever Found at Medina Park.  Loves swimming and tennis balls.  Super sweet boy and a kind family must be missing him!<p/>Age: Over 1 year<p/>Found Near: 2000 block of  23RD AVENUE EAST<p/>Found Date: 2022-01-17<p/>,
K22-143932,A657702,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A657702,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gouzi,Dog,1 YEAR 8 MONTHS,Neutered Male,German Shepherd,Black / Brown,"Feb 10, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657702,Image Copyright HLP Inc. 2022,"Received on: 2022-02-10<p/> Description: Black / Brown<p/>  Neutered Male German Shepherd Dog<p/> Age: 1 YEAR 8 MONTHS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Gouzi and I am available for adoption.<p/><p/>I was brought in by my previous owner on February 10, 2022 because they were moving out of country and could not bring me with. I lived in a home with adults only and have not been socialized with children or other animals. My previous owner described me as energetic and alert.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"".<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have observed that I might not get along with other dogs. I may do best as the only dog in my new home, or I may need a very slow introduction to other dogs.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/>",BLUE
K22-143814,A657367,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2392156,LOST,Achillies,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,"Feb 04, 2022",Date Lost,6600 block of  NE 182ND ST,KENMORE,WA,98028,KENMORE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2392156,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: 6641 NE 182nd St, Kenmore WA  98028<p/>Lost Date: 2022-02-04<p/>",
K22-144091,A658207,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2398063,LOST,Roma,Dog,Over 1 year<p/>,Unknown,Pit Bull,Brown,"Feb 17, 2022",Date Lost,SAFEWAY  IN COTTAGE LAKE WOODEN LIKE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2398063,Image Copyright HLP Inc. 2022,"Description: Brown and white pitiless miz<p/>Age: Over 1 year<p/>Location Lost: Safeway in cottage lake wooden like, Woodinville WA  98072<p/>Lost Date: 2022-02-17<p/>",
K22-143816,A657372,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unknown,Domestic Longhair,Black / White,"Feb 05, 2022",Received on,10400 block of  KELLY RD NE,CARNATION,WA,98014,KING COUNTY,,,,Image Copyright HLP Inc. 2022,Received on: 2022-02-05<p/> Found Near: 10400 block of  KELLY RD NE<p/> Description: Black / White Unknown Domestic Longhair Cat<p/> Age: NO AGE<p/>,
K22-143910,A657624,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2393956,LOST,Justina Maur,Dog,Over 1 year<p/>,Female,American Pit Bull Terrier,Unknown,"Feb 08, 2022",Date Lost,192ND  AND KENTKANGLEY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2393956,Image Copyright HLP Inc. 2022,"Description: Grey and white American Staffordshire Terrier. Answers to Honey<p/>Age: Over 1 year<p/>Location Lost: 192nd and KentKangley, Kent WA  98042<p/>Lost Date: 2022-02-08<p/>",
K22-143762,A657237,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2391188,LOST,Lulu,Dog,Over 1 year<p/>,Female,Shih Tzu,White,"Feb 03, 2022",Date Lost,20600 block of  SE 276TH ST,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2391188,Image Copyright HLP Inc. 2022,"Description: Beige and apricot spots.  Loves belly rubs. Loves car rides.  Sweet, friendly.  Short bangs, long hair.  <p/>Age: Over 1 year<p/>Location Lost: 20619 Se 276th St., Kent WA  98042<p/>Lost Date: 2022-02-03<p/>",
K22-144089,A658203,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2398031,In Public Home,,Cat,Under 1 year<p/>,Male,Domestic Shorthair,Unknown,"Feb 18, 2022",Date Found,SE  12 AND 144TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2398031,Image Copyright HLP Inc. 2022,"Description: A young short haired orange tabby. <p/>Age: Under 1 year<p/>Found Near: SE 12 and 144th Ave SE, Bellevue WA  98007<p/>Found Date: 2022-02-18<p/>",
K22-143886,A657562,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A657562,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mr. Cheeks,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Black,"Feb 08, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657562,Image Copyright HLP Inc. 2022,"Received on: 2022-02-08<p/> Description: Black<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Mr. Cheeks and I am available for adoption.<p/><p/>I was brought in by a good samaritan on 02/08/2022.<p/><p/>I am an independent kitty who likes to do my own thing! Because of my shy and independent nature, I would do best in a calm, quiet home.<p/><p/>I am a little head shy, but offer me gentle head pets and chin scratches and I will just melt!<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/><p/><p/>",BLUE
K22-143679,A657048,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Citrus,Guinea Pig,6 WEEKS,Male,Guinea Pig,Orange / White,"Jan 31, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657048,Image Copyright HLP Inc. 2022,"Received on: 2022-01-31<p/> Description: Orange / White Male Guinea Pig Guinea Pig<p/> Age: 6 WEEKS<p/> Adoption Fee: $5.00<p/> Current Location: In RASKC Foster Home <p/>Guinea pigs are intelligent and complex creatures who do well in families with humans who understand that they are prey animals, and do not enjoy being picked up or held. The best way to bond with me is to spend time with me on the floor, and shower me with plenty of greens and timothy hay!<p/><p/>I am a domestic guinea pig and it is recommend that adopters keep me indoors. I stay clean and rarely need baths, so I'd be a perfect pet for a small animal lover!<p/><p/>I would love a family who will interact with me daily to keep me active and social! When guinea pigs get the space and enrichment we need, we often form deep bonds with our humans!<p/><p/>My personality color is BLUE. I am a gentle and loving guinea pig who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",GREEN
